index,w_star,w_hat
75,10.0,9.227979986277258
76,10.0,11.850828839072141
77,10.0,12.565026409717555
78,10.0,13.737007099277399
79,10.0,12.501040035797118
80,10.0,14.028246700105017
81,10.0,12.857969639845939
82,10.0,9.076179038008325
83,10.0,12.995883290835463
84,10.0,15.387725274988043
85,10.0,13.828096128212799
86,10.0,12.990391571285786
87,10.0,10.721941409145138
88,10.0,13.469876056849378
89,10.0,9.636377400416347
90,10.0,13.174888487438656
91,10.0,12.241315482975557
92,10.0,13.155492016268562
93,10.0,10.968915627161419
94,10.0,14.151311828398804
95,10.0,13.236856233750988
96,10.0,12.568216485441685
97,10.0,11.673092149376021
98,10.0,11.290454035911448
99,10.0,10.683653161944758
100,10.0,11.507581353932911
101,-10.0,-12.37522904030569
102,-10.0,-13.202309580832296
103,-10.0,-9.865936784113437
104,-10.0,-11.031347638707924
105,-10.0,-13.09905112700422
106,-10.0,-11.359740829082092
107,-10.0,-10.863499269492701
108,-10.0,-11.085325053454225
109,-10.0,-10.005336011100868
110,-10.0,-13.4186468976955
111,-10.0,-14.417170019854186
112,-10.0,-12.041698378291322
113,-10.0,-12.004294068479613
114,-10.0,-13.60646984599871
115,-10.0,-10.448829976995235
116,-10.0,-13.306591607368567
117,-10.0,-12.827691979353473
118,-10.0,-12.930654524728872
119,-10.0,-11.18452805788
120,-10.0,-10.93968371489211
121,-10.0,-12.119637092144297
122,-10.0,-12.193862532855833
123,-10.0,-9.139068534569361
124,-10.0,-11.249509512994543
125,-10.0,-10.523845983501486
126,-10.0,-13.112701894814158
127,-10.0,-8.86936402043411
128,-10.0,-13.047533968728015
129,-10.0,-11.333559751676743
130,-10.0,-14.173796880406776
131,-10.0,-13.434881153244625
132,-10.0,-12.239903928819428
133,-10.0,-12.204131355237811
134,-10.0,-13.741432884924928
135,-10.0,-13.9508591239786
136,-10.0,-14.747424858246138
137,-10.0,-10.793043548980897
138,-10.0,-11.535915461063412
139,-10.0,-10.158453887196417
140,-10.0,-14.961365903172966
141,-10.0,-11.16103280977058
142,-10.0,-12.078785936018296
143,-10.0,-11.044478892005849
144,-10.0,-11.708129548658466
145,-10.0,-13.669652471130087
146,-10.0,-11.227695717757099
147,-10.0,-13.725021070453694
148,-10.0,-14.499335427320622
149,-10.0,-12.324042077515317
150,-10.0,-11.479049577029526
151,-10.0,-9.791755589537846
152,-10.0,-14.230519777660788
153,-10.0,-10.547306813973696
154,-10.0,-13.012929537730999
155,-10.0,-10.901815014695227
156,-10.0,-14.003881636858791
157,-10.0,-11.422404639571976
158,-10.0,-11.046900773702875
159,-10.0,-11.880883986038803
160,-10.0,-13.397639998605328
161,-10.0,-8.683027529787323
162,-10.0,-11.692097228113267
163,-10.0,-10.174904591948982
164,-10.0,-14.065488237514003
165,-10.0,-9.10656642233332
166,-10.0,-13.092215511329172
167,-10.0,-11.064150669793644
168,-10.0,-12.32079187069619
169,-10.0,-16.01377132995295
170,-10.0,-8.759388557284128
171,-10.0,-12.446806877085308
172,-10.0,-11.081309419419611
173,-10.0,-13.476468375122279
174,-10.0,-9.7801353812303
175,-10.0,-12.061084452908226
176,-10.0,-11.610611542679907
177,-10.0,-11.14501860296763
178,-10.0,-9.743113737560298
179,-10.0,-15.03133120604613
180,-10.0,-11.936031167815017
181,-10.0,-12.799471424083306
182,-10.0,-12.189061846913667
183,-10.0,-9.817946192707987
184,-10.0,-9.994630952857088
185,-10.0,-13.462661821048526
186,-10.0,-13.379814863125976
187,-10.0,-12.924421823628073
188,-10.0,-9.926282619240721
189,-10.0,-12.8124095720869
190,-10.0,-6.436835128932354
191,-10.0,-14.052249289478699
192,-10.0,-9.66738596974836
193,-10.0,-10.59308981076724
194,-10.0,-11.352712873225244
195,-10.0,-12.077807636405387
196,-10.0,-13.404988191960994
197,-10.0,-10.24249203644525
198,-10.0,-11.0727003456669
199,-10.0,-13.315299457813586
200,-10.0,-12.439222507566202
201,0.0,-0.16985324215406128
202,0.0,-1.0640056155410769
203,0.0,1.2385879881945998
204,0.0,-0.11794299845405384
205,0.0,-0.11942735550016648
206,0.0,-0.1253828070368499
207,0.0,1.8848421367280146
208,0.0,-0.29281783312529497
209,0.0,-1.9638872916308183
210,0.0,1.8624043836896969
211,0.0,-1.7571037822283107
212,0.0,1.4287194966843724
213,0.0,-0.6713824009758278
214,0.0,-1.403899924019694
215,0.0,-2.6210977354879716
216,0.0,-0.31421204226754895
217,0.0,1.6935875608097923
218,0.0,0.3150538236915146
219,0.0,2.268387990464306
220,0.0,0.4023675255019198
221,0.0,-1.0434045155203895
222,0.0,-1.3727328812059485
223,0.0,1.5328450497868062
224,0.0,0.7143821923043061
225,0.0,-0.7821514880722185
226,0.0,-3.0522649941790054
227,0.0,0.4449109131944762
228,0.0,1.3256693062148628
229,0.0,0.74770930552068
230,0.0,2.387746978531104
231,0.0,2.3333147389177262
232,0.0,0.8463932550652467
233,0.0,-1.077891058589589
234,0.0,1.3371458366060767
235,0.0,1.8925127839798412
236,0.0,-3.5804455010290943
237,0.0,-1.5988564847113578
238,0.0,1.7097954131459145
239,0.0,-0.6080460632348291
240,0.0,-1.4647703837843282
241,0.0,2.3693325593583956
242,0.0,-0.8844191114164436
243,0.0,0.001717637839920321
244,0.0,1.9657041914759783
245,0.0,5.170836388299523
246,0.0,1.959974964860453
247,0.0,0.4772876717313585
248,0.0,1.9732482055154745
249,0.0,-0.8054096739619236
250,0.0,2.075855490596029
251,0.0,-1.8979262458245292
252,0.0,0.1897564833862767
253,0.0,1.9460096387695553
254,0.0,-1.815862686069051
255,0.0,-2.8545198482680383
256,0.0,-1.0271131856903173
257,0.0,-0.8583614306621195
258,0.0,-0.6074849638184764
259,0.0,-2.002821724953928
260,0.0,-1.2500501771032393
261,0.0,0.14102369700856965
262,0.0,0.513144388774054
263,0.0,3.091308816307013
264,0.0,-0.3099985312864722
265,0.0,-0.5028628733656366
266,0.0,2.1312449049525495
267,0.0,-0.41025259211620957
268,0.0,2.0340443011075067
269,0.0,-3.7631249803493403
270,0.0,0.772666314547582
271,0.0,-1.2345323142101958
272,0.0,-0.25995975927474246
273,0.0,-1.153904262354116
274,0.0,1.4725845554193018
275,0.0,3.480603945280008
276,0.0,-1.8903706914759824
277,0.0,0.1187622173420002
278,0.0,0.8168156266045373
279,0.0,0.7466568637527916
280,0.0,1.9843315348933122
