x,y,identity_sigma,uneven_sigma
0.6734693877551021,-3.0,0.0014093064507132433,8.754576992344835e-05
0.7959183673469385,-3.0,0.001288057396040679,6.078321984164918e-05
0.9183673469387754,-3.0,0.0011597203756795896,4.136661321042933e-05
1.0408163265306118,-3.0,0.0010286311109174878,2.759522611747501e-05
1.1632653061224492,-3.0,0.0008987819028708665,1.804411874863443e-05
1.2857142857142856,-3.0,0.0007736370835370401,1.1565252632578164e-05
1.408163265306122,-3.0,0.0006560070925345591,7.265948233793858e-06
1.5306122448979593,-3.0,0.0005479842630311023,4.474527718970874e-06
1.6530612244897958,-3.0,0.0004509370655809499,2.7009704585582276e-06
1.7755102040816322,-3.0,0.0003655544525784068,1.5981229693526698e-06
1.8979591836734695,-3.0,0.00029192851484134073,9.268688374728557e-07
2.020408163265306,-3.0,0.0002296620587072677,5.269192878213778e-07
2.1428571428571423,-3.0,0.00017798782057373114,2.936213556294753e-07
2.2653061224489797,-3.0,0.00013588753258886934,1.603795204991953e-07
2.387755102040816,-3.0,0.00010220149214360127,8.586732030665175e-08
2.5102040816326525,-3.0,7.572218830109326e-05,4.506347069376098e-08
2.63265306122449,-3.0,5.526846104609603e-05,2.318136965129868e-08
2.7551020408163263,-3.0,3.9739269854790356e-05,1.1688836272908485e-08
2.8775510204081627,-3.0,2.814820407161733e-05,5.777250336965112e-09
3.0,-3.0,1.9641280346397457e-05,2.7989093033162283e-09
-3.0,-2.877551020408163,2.814820407161733e-05,0.0005761549597716047
-2.877551020408163,-2.877551020408163,4.0339599989607444e-05,0.0007360327470985112
-2.7551020408163267,-2.877551020408163,5.6950924675074853e-05,0.0009216641549785144
-2.63265306122449,-2.877551020408163,7.92060340676868e-05,0.0011312692585869256
-2.510204081632653,-2.877551020408163,0.00010851856760140131,0.0013610591573606954
-2.387755102040816,-2.877551020408163,0.00014646644243889812,0.0016051134949679503
-2.2653061224489797,-2.877551020408163,0.0001947423961494248,0.00185546265739088
-2.142857142857143,-2.877551020408163,0.0002550769301905881,0.0021024051824326834
-2.020408163265306,-2.877551020408163,0.0003291320312112765,0.002335061624764321
-1.8979591836734695,-2.877551020408163,0.000418366993656063,0.0025421314447568377
-1.7755102040816326,-2.877551020408163,0.0005238813941349115,0.0027127850707869194
-1.653061224489796,-2.877551020408163,0.0006462444566531009,0.0028375955787315553
-1.5306122448979593,-2.877551020408163,0.000785324204522311,0.002909399359028038
-1.4081632653061225,-2.877551020408163,0.0009401332900621206,0.002923976694916157
-1.2857142857142858,-2.877551020408163,0.0011087105382498962,0.0028804623486183936
-1.163265306122449,-2.877551020408163,0.00128805739604068,0.0027814305904918226
-1.0408163265306123,-2.877551020408163,0.0014741461816072754,0.0026326430495488863
-0.9183673469387754,-2.877551020408163,0.001662012110459451,0.0024424937359946884
-0.795918367346939,-2.877551020408163,0.001845933757895731,0.0022212255812761373
-0.6734693877551021,-2.877551020408163,0.0020196975387808207,0.0019800201153068507
-0.5510204081632653,-2.877551020408163,0.0021769319647802275,0.0017300723535094778
-0.4285714285714288,-2.877551020408163,0.002311488155688776,0.0014817558754793383
-0.30612244897959195,-2.877551020408163,0.0024178356927370558,0.0012439610371470942
-0.18367346938775508,-2.877551020408163,0.002491438621729126,0.0010236573887821804
-0.06122448979591866,-2.877551020408163,0.0025290760944138625,0.0008256960390823086
0.06122448979591821,-2.877551020408163,0.0025290760944138625,0.0006528351128399647
0.18367346938775508,-2.877551020408163,0.002491438621729126,0.0005059464309535692
